ticker,subindustry,market_cap
LSEA,consumer_durables_and_apparel,389.1
LTBR,energy,78.4
LTRN,pharmaceuticals_biotechnology_and_life_sciences,73.8
LTRX,technology_hardware_and_equipment,230.4
LUNA,technology_hardware_and_equipment,206.5
LVO,media_and_entertainment,64.5
LVRA,diversified_financials,332.0
LWLG,technology_hardware_and_equipment,1430.5
LYL,diversified_financials,22.5
MACA,diversified_financials,145.9
MACU,diversified_financials,138.9
MARA,software_and_services,2215.6
MARK,retailing,69.0
MAYS,real_estate,77.6
MBCN,banks,152.5
MBII,chemicals,176.8
MBIN,banks,1139.7
MBOT,health_care_equipment_and_services,43.7
MBRX,pharmaceuticals_biotechnology_and_life_sciences,54.9
MBTC,diversified_financials,150.8
MCLD,software_and_services,48.6
MDGS,health_care_equipment_and_services,24.8
MDIA,media_and_entertainment,26.7
MDJH,real_estate,23.4
MDNA,pharmaceuticals_biotechnology_and_life_sciences,67.8
