ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
PDP,SII,2022-04-13,0.529,3.296,0.527,-8.491,4.76,0.46666795,2.587266,0.134,0.994,0.124,1.161,0.125,1.14,2017-04-28,diversified_financials
PFF,QYLD,2022-04-13,0.843,4.27,0.67,-5.948,4.76,0.077906325,0.43185633,0.017,3.11,0.026,2.505,0.025,2.585,2017-04-28,diversified_financials
PFF,TSLX,2022-04-13,0.51,3.554,1.185,-25.563,4.76,0.31360507,2.844158,-0.003,3.67,0.009,3.253,0.033,2.449,2017-04-28,diversified_financials
PFF,TY,2022-04-13,0.529,2.758,1.559,-28.302,4.76,0.07143731,0.19644646,-0.011,3.478,-0.008,3.29,0.006,2.397,2017-04-28,diversified_financials
PFF,VOYA,2022-04-13,0.804,2.728,2.725,-40.859,4.76,0.06461836,1.0395054,-0.004,2.861,-0.009,3.061,0.026,1.795,2017-04-28,diversified_financials
PIPR,TSLX,2022-04-13,0.608,3.636,0.095,7.932,4.76,0.24307682,1.0394381,0.093,0.785,0.12,-0.024,0.104,0.447,2017-04-28,diversified_financials
PKW,TY,2022-04-13,0.667,-2.579,0.268,8.025,4.76,0.20459811,-0.8245142,-0.001,-2.651,-0.01,-3.162,0.0,-2.56,2017-04-28,diversified_financials
PRFZ,RJF,2022-04-13,0.608,3.224,0.63,-23.406,4.76,0.035632085,1.7178819,0.025,2.411,0.04,1.905,0.028,2.305,2017-04-28,diversified_financials
PTY,TSLX,2022-04-13,0.647,2.872,1.41,-4.315,4.76,0.00029741044,2.682472,0.026,2.397,0.058,1.8,0.03,2.314,2017-04-28,diversified_financials
PTY,UTF,2022-04-13,0.647,3.521,1.469,0.893,4.76,0.5396896,1.7410216,0.038,2.407,0.029,2.655,0.002,3.479,2017-04-28,diversified_financials
PTY,VONV,2022-04-13,0.529,2.882,3.903,0.237,4.76,0.020025069,2.5106988,0.018,2.447,0.037,2.003,0.003,2.818,2017-04-28,diversified_financials
QQEW,SII,2022-04-13,0.549,3.02,0.383,-2.859,4.76,0.47080585,1.9371549,0.131,0.582,0.108,1.017,0.136,0.501,2017-04-28,diversified_financials
QQEW,SKYY,2022-04-13,0.529,-2.6,1.015,-10.216,4.76,0.8546765,-1.1678616,-0.021,-3.723,-0.024,-3.839,-0.031,-4.215,2017-04-28,diversified_financials
QQQ,SII,2022-04-13,0.51,2.977,0.103,2.498,4.76,0.6313144,1.6962649,0.141,0.339,0.112,0.876,0.143,0.31,2017-04-28,diversified_financials
QQQX,SII,2022-04-13,0.706,3.0,2.008,-13.961,4.76,0.067222565,1.5761187,0.112,0.498,0.09,0.995,0.121,0.302,2017-04-28,diversified_financials
QQQX,TROW,2022-04-13,0.902,-2.681,9.516,-75.375,4.76,0.19401875,-0.75102866,0.01,-2.35,0.007,-2.449,-0.001,-2.703,2017-04-28,diversified_financials
QTEC,VONG,2022-04-13,0.706,2.984,0.425,3.241,4.76,0.5541232,0.5079729,0.004,2.612,0.008,2.216,-0.003,3.293,2017-04-28,diversified_financials
QTEC,VTIP,2022-04-13,0.588,2.721,0.063,39.393,4.76,0.5687308,0.20539702,-0.02,4.909,-0.022,5.06,-0.019,4.768,2017-04-28,diversified_financials
RDVY,TSLX,2022-04-13,0.608,2.77,0.408,1.253,4.76,0.41921678,0.72927535,0.02,1.752,0.04,0.688,0.045,0.428,2017-04-28,diversified_financials
RILY,TSLX,2022-04-13,0.941,2.651,0.155,11.174,4.76,0.4734142,0.48834562,0.028,1.886,0.087,0.262,0.071,0.708,2017-04-28,diversified_financials
RJF,SCHW,2022-04-13,0.98,-3.075,0.872,-5.325,4.76,0.67122465,-0.021711912,-0.019,-4.398,-0.005,-3.399,-0.017,-4.227,2017-04-28,diversified_financials
RJF,SLM,2022-04-13,0.627,-3.259,0.217,-2.227,4.76,0.10972282,-1.512222,0.08,-1.136,0.134,0.325,0.084,-1.01,2017-04-28,diversified_financials
RNP,TSLX,2022-04-13,0.765,2.52,0.922,-2.962,4.76,0.043372743,0.49798328,-0.013,3.093,-0.007,2.839,0.027,1.306,2017-04-28,diversified_financials
SF,TSLX,2022-04-13,0.608,3.073,0.214,6.239,4.76,0.5363356,0.3981419,0.043,1.352,0.068,0.344,0.06,0.685,2017-04-28,diversified_financials
SF,VONV,2022-04-13,0.647,2.807,0.559,31.11,4.76,0.7741023,0.39024612,0.034,0.789,0.046,0.117,0.029,1.113,2017-04-28,diversified_financials
SHV,VCLT,2022-04-13,0.569,-2.511,6.752,-645.5,4.76,0.04874162,-0.4961238,-0.007,-3.893,-0.009,-4.23,-0.004,-3.29,2017-04-28,diversified_financials
SHV,VMBS,2022-04-13,0.51,-5.263,1.287,-89.75,4.76,0.12518695,-0.49455622,-0.004,-6.404,-0.012,-8.833,-0.002,-5.931,2017-04-28,diversified_financials
SHY,VMBS,2022-04-13,0.922,-4.955,0.806,-16.422,4.76,0.017805276,-0.45351595,-0.005,-6.668,-0.014,-9.354,-0.002,-5.642,2017-04-28,diversified_financials
SLM,STEW,2022-04-13,0.51,2.682,0.355,6.702,4.76,0.00041238873,1.3037957,0.064,0.502,0.118,-1.366,0.087,-0.302,2017-04-28,diversified_financials
SLQD,USIG,2022-04-13,0.51,-2.687,2.007,-43.32,4.76,0.10041921,-0.5326594,-0.007,-4.417,-0.007,-4.377,-0.005,-3.862,2017-04-28,diversified_financials
SLQD,VCIT,2022-04-13,0.549,-3.025,3.094,-65.578,4.76,0.030230705,-0.07009694,-0.006,-4.663,-0.008,-5.106,-0.004,-4.133,2017-04-28,diversified_financials
SLQD,VWOB,2022-04-13,0.922,-2.616,2.112,-29.391,4.76,7.9073027e-07,-1.5875214,-0.016,-3.749,-0.025,-4.386,-0.039,-5.33,2017-04-28,diversified_financials
TSLX,TY,2022-04-13,0.627,-2.636,1.088,9.158,4.76,0.14250259,-1.6413702,0.003,-2.518,0.01,-2.284,0.025,-1.738,2017-04-28,diversified_financials
VCLT,VMBS,2022-04-13,0.647,-2.783,0.147,37.612,4.76,0.05016977,-1.7983325,0.002,-2.576,-0.021,-4.848,-0.0,-2.797,2017-04-28,diversified_financials
VGSH,VMBS,2022-04-13,0.902,-4.962,1.093,-13.922,4.76,0.039322343,-1.5395638,-0.006,-6.613,-0.015,-9.236,-0.003,-5.691,2017-04-28,diversified_financials
VTIP,VWOB,2022-04-13,0.824,-3.013,0.752,40.113,4.76,0.04636023,-1.1962398,-0.033,-4.048,-0.061,-4.916,-0.07,-5.217,2017-04-28,diversified_financials
ACH,NUE,2022-04-13,0.686,4.322,6.876,0.219,4.24,0.0017474563,2.2706175,0.023,3.907,0.071,3.035,0.052,3.388,2017-04-28,metals_and_mining
ACH,X,2022-04-13,0.549,3.397,1.665,-0.177,4.24,0.52739394,1.0523343,0.072,2.235,0.153,0.914,0.157,0.844,2017-04-28,metals_and_mining
AEM,SSRM,2022-04-13,0.627,3.129,0.195,5.5,4.24,0.556957,1.2976296,0.056,2.04,0.068,1.821,0.093,1.338,2017-04-28,metals_and_mining
AU,RGLD,2022-04-13,0.98,2.838,2.429,60.425,4.24,0.8666507,1.2909248,0.05,1.716,0.093,0.767,0.08,1.06,2017-04-28,metals_and_mining
AU,SSRM,2022-04-13,0.98,3.937,0.549,5.244,4.24,0.95434386,1.0354104,0.034,3.071,0.033,3.105,0.06,2.42,2017-04-28,metals_and_mining
